variant,component,log10k
current_sssc_fixed_grid,kxx,-4.466674693054548
current_sssc_fixed_grid,kxx,-4.22236582430701
current_sssc_fixed_grid,kxx,-0.477029263727108
current_sssc_fixed_grid,kxx,-3.8016133664224387
current_sssc_fixed_grid,kxx,0.1113875128374028
current_sssc_fixed_grid,kxx,-4.156673661816948
current_sssc_fixed_grid,kxx,-3.9352889973245784
current_sssc_fixed_grid,kxx,-4.513010662182609
current_sssc_fixed_grid,kxx,-3.872478215380125
current_sssc_fixed_grid,kxx,-4.234069249439173
current_sssc_fixed_grid,kxx,-4.371262210800554
current_sssc_fixed_grid,kxx,-3.703448283577001
current_sssc_fixed_grid,kxx,-4.261285691625801
current_sssc_fixed_grid,kxx,-4.230062250305234
current_sssc_fixed_grid,kxx,-4.5482282602965824
current_sssc_fixed_grid,kxx,-3.983847901123358
current_sssc_fixed_grid,kxx,-3.9360115789054313
current_sssc_fixed_grid,kxx,0.47436431315233185
current_sssc_fixed_grid,kxx,-4.016823635255113
current_sssc_fixed_grid,kxx,-4.2486381328986305
current_sssc_fixed_grid,kxx,-4.127201685906359
current_sssc_fixed_grid,kxx,-3.8075060043751057
current_sssc_fixed_grid,kxx,-0.5430817016241901
current_sssc_fixed_grid,kxx,-0.3478079945115473
current_sssc_fixed_grid,kxx,-3.932954761077645
current_sssc_fixed_grid,kxx,-4.147036412002649
current_sssc_fixed_grid,kxx,-4.261923130311345
current_sssc_fixed_grid,kxx,-0.49167392081455197
current_sssc_fixed_grid,kxx,-4.205583178257317
current_sssc_fixed_grid,kxx,-4.256246810464497
current_sssc_fixed_grid,kxx,-4.26330720070783
current_sssc_fixed_grid,kxx,-3.825404802486199
current_sssc_fixed_grid,kxx,-4.040469530186828
current_sssc_fixed_grid,kxx,-3.8415569510044505
current_sssc_fixed_grid,kxx,-4.047827478982507
current_sssc_fixed_grid,kxx,-4.397735346060996
current_sssc_fixed_grid,kxx,-0.08514216600781607
current_sssc_fixed_grid,kxx,-4.034402669489335
current_sssc_fixed_grid,kxx,-4.061947803135597
current_sssc_fixed_grid,kxx,-4.151884158177382
current_sssc_fixed_grid,kxx,-4.052317087989591
current_sssc_fixed_grid,kxx,-0.3833597241018397
current_sssc_fixed_grid,kxx,-0.2715449038199089
current_sssc_fixed_grid,kxx,-4.643400286297073
current_sssc_fixed_grid,kxx,-4.56620341882346
current_sssc_fixed_grid,kxx,-4.000706345435437
current_sssc_fixed_grid,kxx,-4.139880134440041
current_sssc_fixed_grid,kxx,-4.162633701217308
current_sssc_fixed_grid,kxx,-4.208690721033192
current_sssc_fixed_grid,kxx,-4.110672508252848
current_sssc_fixed_grid,kxx,-4.1666785764254195
current_sssc_fixed_grid,kxx,-4.157822252937732
current_sssc_fixed_grid,kxx,-4.227831423884768
current_sssc_fixed_grid,kxx,-0.2830059922927768
current_sssc_fixed_grid,kxx,-4.07774378572141
current_sssc_fixed_grid,kxx,-4.031973425108722
current_sssc_fixed_grid,kxx,-4.305646559423448
current_sssc_fixed_grid,kxx,-4.278922263586452
current_sssc_fixed_grid,kxx,-4.093200283656012
current_sssc_fixed_grid,kxx,-4.17545229505838
current_sssc_fixed_grid,kxx,-4.220608643789055
current_sssc_fixed_grid,kxx,-3.91451776967581
current_sssc_fixed_grid,kxx,-4.090367423118953
current_sssc_fixed_grid,kxx,-4.343936677661148
current_sssc_fixed_grid,kxx,-4.330737202742145
current_sssc_fixed_grid,kxx,-4.007515554221863
current_sssc_fixed_grid,kxx,-0.24233012955352773
current_sssc_fixed_grid,kxx,-0.08146708339971959
current_sssc_fixed_grid,kxx,-3.769519401440098
current_sssc_fixed_grid,kxx,-0.0012523454341240377
current_sssc_fixed_grid,kxx,-0.33160090896596006
current_sssc_fixed_grid,kxx,0.21399810727181626
current_sssc_fixed_grid,kxx,-3.9753455389312866
current_sssc_fixed_grid,kxx,-4.359560881662595
current_sssc_fixed_grid,kxx,-0.5785737304569626
current_sssc_fixed_grid,kxx,-0.4303712392430785
current_sssc_fixed_grid,kxx,-3.835600702349363
current_sssc_fixed_grid,kxx,-3.9768934195263435
