Window,CaseIndex,CaseLabel,FaultingDepth,SandVcl,ClayVcl,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,CheckpointFile
famp2,21,case_021_zf1000_svcl010_cvcl060,1000,0.1,0.6,2000,2000,0,1,221001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_021_zf1000_svcl010_cvcl060\predict_runs.mat
famp2,22,case_022_zf1000_svcl020_cvcl040,1000,0.2,0.4,2000,2000,0,1,222001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_022_zf1000_svcl020_cvcl040\predict_runs.mat
famp2,23,case_023_zf1000_svcl020_cvcl050,1000,0.2,0.5,2000,2000,0,1,223001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_023_zf1000_svcl020_cvcl050\predict_runs.mat
famp2,24,case_024_zf1000_svcl020_cvcl060,1000,0.2,0.6,2000,2000,0,1,224001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_024_zf1000_svcl020_cvcl060\predict_runs.mat
famp2,25,case_025_zf1000_svcl030_cvcl040,1000,0.3,0.4,2000,2000,0,1,225001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_025_zf1000_svcl030_cvcl040\predict_runs.mat
famp2,26,case_026_zf1000_svcl030_cvcl050,1000,0.3,0.5,2000,2000,0,1,226001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_026_zf1000_svcl030_cvcl050\predict_runs.mat
famp2,27,case_027_zf1000_svcl030_cvcl060,1000,0.3,0.6,2000,2000,0,1,227001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_027_zf1000_svcl030_cvcl060\predict_runs.mat
famp3,1,case_001_zf0050_svcl010_cvcl040,50,0.1,0.4,2000,2000,0,1,301001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_001_zf0050_svcl010_cvcl040\predict_runs.mat
famp3,2,case_002_zf0050_svcl010_cvcl050,50,0.1,0.5,2000,2000,0,1,302001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_002_zf0050_svcl010_cvcl050\predict_runs.mat
famp3,3,case_003_zf0050_svcl010_cvcl060,50,0.1,0.6,2000,2000,0,1,303001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_003_zf0050_svcl010_cvcl060\predict_runs.mat
