Window,Nsim,Repeat,Metric,Component,Score
famp1,20,26,Wasserstein,kyy,0.192323438982938
famp1,20,26,Wasserstein,kzz,0.149969423631475
famp1,20,27,MAE,kxx,0.0285208333333333
famp1,20,27,MAE,kyy,0.0240708333333333
famp1,20,27,MAE,kzz,0.0237916666666667
famp1,20,27,Hellinger,kxx,0.381294127520568
famp1,20,27,Hellinger,kyy,0.323931974424224
famp1,20,27,Hellinger,kzz,0.309387652236858
famp1,20,27,Wasserstein,kxx,0.527274538818905
famp1,20,27,Wasserstein,kyy,0.428002467390038
famp1,20,27,Wasserstein,kzz,0.601265443077324
famp1,20,28,MAE,kxx,0.0183666666666667
famp1,20,28,MAE,kyy,0.0128083333333333
famp1,20,28,MAE,kzz,0.0267166666666667
famp1,20,28,Hellinger,kxx,0.277884892422086
famp1,20,28,Hellinger,kyy,0.297240426754115
famp1,20,28,Hellinger,kzz,0.374822533091541
famp1,20,28,Wasserstein,kxx,0.129606949298651
famp1,20,28,Wasserstein,kyy,0.140004796014293
famp1,20,28,Wasserstein,kzz,0.205685786754387
famp1,20,29,MAE,kxx,0.0240583333333333
famp1,20,29,MAE,kyy,0.015475
famp1,20,29,MAE,kzz,0.0206041666666667
famp1,20,29,Hellinger,kxx,0.351778174308487
famp1,20,29,Hellinger,kyy,0.235282176190323
famp1,20,29,Hellinger,kzz,0.320898507794129
famp1,20,29,Wasserstein,kxx,0.214653799633169
famp1,20,29,Wasserstein,kyy,0.241760042165605
famp1,20,29,Wasserstein,kzz,0.641519973586112
famp1,20,30,MAE,kxx,0.0129541666666667
famp1,20,30,MAE,kyy,0.0179875
famp1,20,30,MAE,kzz,0.0176083333333333
famp1,20,30,Hellinger,kxx,0.160121838986718
famp1,20,30,Hellinger,kyy,0.311090611941141
famp1,20,30,Hellinger,kzz,0.241899574432537
famp1,20,30,Wasserstein,kxx,0.169915878417236
famp1,20,30,Wasserstein,kyy,0.19522673621011
famp1,20,30,Wasserstein,kzz,0.228649489623689
famp1,50,1,MAE,kxx,0.0127708333333333
famp1,50,1,MAE,kyy,0.0102
famp1,50,1,MAE,kzz,0.00705
famp1,50,1,Hellinger,kxx,0.17633870262221
famp1,50,1,Hellinger,kyy,0.217458417694924
famp1,50,1,Hellinger,kzz,0.138702736084084
famp1,50,1,Wasserstein,kxx,0.192469244597638
famp1,50,1,Wasserstein,kyy,0.160709689052961
famp1,50,1,Wasserstein,kzz,0.181891854396842
famp1,50,2,MAE,kxx,0.0119541666666667
famp1,50,2,MAE,kyy,0.00544166666666666
famp1,50,2,MAE,kzz,0.00891666666666667
famp1,50,2,Hellinger,kxx,0.152932775795291
famp1,50,2,Hellinger,kyy,0.128308069382297
famp1,50,2,Hellinger,kzz,0.11274052922252
famp1,50,2,Wasserstein,kxx,0.110937536776573
famp1,50,2,Wasserstein,kyy,0.0916897031081048
famp1,50,2,Wasserstein,kzz,0.0856167321152745
famp1,50,3,MAE,kxx,0.0134375
famp1,50,3,MAE,kyy,0.00751666666666667
famp1,50,3,MAE,kzz,0.00931666666666667
famp1,50,3,Hellinger,kxx,0.229449570868787
famp1,50,3,Hellinger,kyy,0.198406640696028
famp1,50,3,Hellinger,kzz,0.140906998785311
famp1,50,3,Wasserstein,kxx,0.149702873041056
famp1,50,3,Wasserstein,kyy,0.105683114041622
famp1,50,3,Wasserstein,kzz,0.136765685250662
famp1,50,4,MAE,kxx,0.0167625
famp1,50,4,MAE,kyy,0.0101666666666667
famp1,50,4,MAE,kzz,0.0184375
famp1,50,4,Hellinger,kxx,0.210896221570229
