Window,Metric,Component,ReferencePair,Distance,FloorMedian,FloorMin,FloorMax
famp6,MAE,kxx,R1_R3,0.00157916666666666,0.0010125,0.000675,0.00157916666666666
famp6,MAE,kyy,R1_R3,0.000391666666666667,0.000991666666666665,0.000391666666666667,0.00106666666666667
famp6,MAE,kzz,R1_R3,0.00129583333333333,0.0010375,0.0007625,0.00129583333333333
famp6,Hellinger,kxx,R1_R3,0.0180502524842278,0.0147113116310497,0.0112974309777466,0.0180502524842278
famp6,Hellinger,kyy,R1_R3,0.00660143353184843,0.0126886015374127,0.00660143353184843,0.0130073552262477
famp6,Hellinger,kzz,R1_R3,0.0172622701102037,0.0159906728450058,0.014919628650779,0.0172622701102037
famp6,Wasserstein,kxx,R1_R3,0.0641515382632594,0.0402200517457507,0.0242516620547104,0.0641515382632594
famp6,Wasserstein,kyy,R1_R3,0.00418493331862305,0.0125580637710983,0.00418493331862305,0.0158397296585634
famp6,Wasserstein,kzz,R1_R3,0.0422495006360323,0.0257708635010353,0.0171751199639115,0.0422495006360323
famp6,MAE,kxx,R2_R3,0.000675,0.0010125,0.000675,0.00157916666666666
famp6,MAE,kyy,R2_R3,0.000991666666666665,0.000991666666666665,0.000391666666666667,0.00106666666666667
famp6,MAE,kzz,R2_R3,0.0007625,0.0010375,0.0007625,0.00129583333333333
famp6,Hellinger,kxx,R2_R3,0.0112974309777466,0.0147113116310497,0.0112974309777466,0.0180502524842278
famp6,Hellinger,kyy,R2_R3,0.0126886015374127,0.0126886015374127,0.00660143353184843,0.0130073552262477
famp6,Hellinger,kzz,R2_R3,0.014919628650779,0.0159906728450058,0.014919628650779,0.0172622701102037
famp6,Wasserstein,kxx,R2_R3,0.0242516620547104,0.0402200517457507,0.0242516620547104,0.0641515382632594
famp6,Wasserstein,kyy,R2_R3,0.0125580637710983,0.0125580637710983,0.00418493331862305,0.0158397296585634
famp6,Wasserstein,kzz,R2_R3,0.0171751199639115,0.0257708635010353,0.0171751199639115,0.0422495006360323
