ScenarioIndex,ScenarioLabel,ScenarioName,Window,OriginalFWPattern,OriginalHWPattern,CollapsedFWPattern,CollapsedHWPattern,CollapsedFWThickness,CollapsedHWThickness,CollapsedFWZmax,CollapsedHWZmax,SmearOverlapRule,CollapseAdjacentLithology,CaseIndex,CaseLabel,FaultingDepth,SandVcl,ClayVcl,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,CheckpointFile
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,10,case_010_zf0500_svcl010_cvcl040,500,0.1,0.4,2000,2000,0,1,121001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_010_zf0500_svcl010_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,11,case_011_zf0500_svcl010_cvcl050,500,0.1,0.5,2000,2000,0,1,121101729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_011_zf0500_svcl010_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,12,case_012_zf0500_svcl010_cvcl060,500,0.1,0.6,2000,2000,0,1,121201729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_012_zf0500_svcl010_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,13,case_013_zf0500_svcl020_cvcl040,500,0.2,0.4,2000,2000,0,1,121301729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_013_zf0500_svcl020_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,14,case_014_zf0500_svcl020_cvcl050,500,0.2,0.5,2000,2000,0,1,121401729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_014_zf0500_svcl020_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,15,case_015_zf0500_svcl020_cvcl060,500,0.2,0.6,2000,2000,0,1,121501729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_015_zf0500_svcl020_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,16,case_016_zf0500_svcl030_cvcl040,500,0.3,0.4,2000,2000,0,1,121601729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_016_zf0500_svcl030_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,17,case_017_zf0500_svcl030_cvcl050,500,0.3,0.5,2000,2000,0,1,121701729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_017_zf0500_svcl030_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,18,case_018_zf0500_svcl030_cvcl060,500,0.3,0.6,2000,2000,0,1,121801729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_018_zf0500_svcl030_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,19,case_019_zf1000_svcl010_cvcl040,1000,0.1,0.4,2000,2000,0,1,121901729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_019_zf1000_svcl010_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,20,case_020_zf1000_svcl010_cvcl050,1000,0.1,0.5,2000,2000,0,1,122001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_020_zf1000_svcl010_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,21,case_021_zf1000_svcl010_cvcl060,1000,0.1,0.6,2000,2000,0,1,122101729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_021_zf1000_svcl010_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,22,case_022_zf1000_svcl020_cvcl040,1000,0.2,0.4,2000,2000,0,1,122201729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_022_zf1000_svcl020_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,23,case_023_zf1000_svcl020_cvcl050,1000,0.2,0.5,2000,2000,0,1,122301729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_023_zf1000_svcl020_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,24,case_024_zf1000_svcl020_cvcl060,1000,0.2,0.6,2000,2000,0,1,122401729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_024_zf1000_svcl020_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,25,case_025_zf1000_svcl030_cvcl040,1000,0.3,0.4,2000,2000,0,1,122501729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_025_zf1000_svcl030_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,26,case_026_zf1000_svcl030_cvcl050,1000,0.3,0.5,2000,2000,0,1,122601729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_026_zf1000_svcl030_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,27,case_027_zf1000_svcl030_cvcl060,1000,0.3,0.6,2000,2000,0,1,122701729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_027_zf1000_svcl030_cvcl060\predict_runs.mat
