sample_index,log10_kxx,log10_kyy,log10_kzz,cluster
168,-1.7095505142,-1.0617542350,-0.8407293905,2
169,-2.0229586219,-1.0704975580,-1.3918982179,2
170,-2.7938152796,-1.2462671519,-1.4524013617,2
171,-5.5545359687,-1.2596878439,-4.9895625860,3
172,-2.0428639405,-1.2040019671,-0.9459064809,2
173,-1.9582209952,-1.1554607694,-1.4010380931,2
174,-4.4204238439,-1.1537903014,-1.0331341918,1
175,-2.0773973704,-1.0926576010,-1.4056699080,2
176,-2.8973075329,-0.8872875748,-1.0640342717,2
177,-2.1766463023,-1.3399656809,-1.4084100078,2
178,-1.7281096703,-1.6514478311,-0.7583217672,2
179,-2.0999310247,-1.1785879220,-0.9915285576,2
180,-2.1322255889,-1.0177068611,-0.7703505458,2
181,-2.8398341931,-4.6514601599,-1.1316836859,2
182,-2.0004542463,-1.0667807719,-0.9869529110,2
183,-1.8947732266,-1.8406058169,-1.1150812401,2
184,-2.1364848826,-1.3917087297,-1.2809480927,2
185,-2.0432919561,-1.3116132844,-0.9768019164,2
186,-5.5851454185,-1.8489637757,-4.9401775658,3
187,-2.4728403667,-0.9549503045,-0.8421413951,2
188,-3.8230946238,-0.8219314974,-0.8310149017,1
189,-1.9449547029,-2.1993472200,-1.3802553656,2
190,-2.6173539203,-1.2163858861,-1.2332772377,2
191,-2.7047219230,-1.2692503556,-1.0874360005,2
192,-2.1551351170,-1.3675139497,-1.2718178270,2
193,-2.0307281806,-1.0677320609,-1.0882423785,2
194,-2.4302309615,-1.8284288491,-1.1903955664,2
195,-2.0722166915,-1.4238737120,-1.1703480996,2
196,-2.3516778964,-1.2506380650,-0.7658964247,2
197,-3.1950627615,-0.8959338537,-0.6712098304,2
198,-4.3981319507,-1.0407189760,-1.2942643654,1
199,-1.9418521690,-1.4432585243,-1.7518007147,2
200,-4.3928290102,-1.9704489415,-1.0260243076,1
201,-3.8912293920,-1.4244463520,-2.8288769214,1
202,-1.7314781745,-0.9933689667,-1.5970671708,2
203,-1.9212660776,-1.1824618869,-0.7533503377,2
204,-2.8162573331,-0.9821036247,-1.1525752427,2
205,-1.9843615544,-1.0000387965,-0.8712092582,2
206,-3.2411644927,-1.2902484540,-1.8635732825,2
207,-2.0329445238,-1.0783129634,-0.9327154160,2
208,-2.1347243035,-1.7603962127,-0.8051994382,2
209,-2.1460531882,-1.2865891220,-1.0987314169,2
210,-1.2394586873,-1.2701309314,-0.9717222162,2
211,-4.8806766307,-1.6223745695,-0.8675534084,1
212,-4.0120681393,-1.5502944489,-1.3849701781,1
213,-1.8433613355,-1.0563758050,-1.1314449607,2
214,-2.2220081218,-1.3074579463,-0.8633772428,2
215,-2.0177570127,-1.1049370658,-0.9237661106,2
216,-2.2512515551,-1.5291316992,-1.4013686018,2
217,-2.9041408822,-1.6467788935,-0.8652414526,2
218,-2.1310415207,-1.3809298007,-1.1575220081,2
219,-2.1804865058,-1.2423380796,-1.1291311394,2
220,-1.8768270869,-1.0975687837,-0.9174262184,2
221,-2.1833635430,-1.2039191940,-0.6941272976,2
222,-4.4670286916,-1.2656618959,-1.0015026299,1
223,-1.6504483140,-1.5814609253,-3.3167808574,3
224,-1.5613481510,-0.9239178583,-0.9185723066,2
225,-5.5092195036,-1.1140303612,-4.8012319575,3
226,-2.4503335239,-2.6959474674,-1.3634903178,2
227,-2.8439526551,-1.1487070239,-1.1411226825,2
228,-2.8778517568,-1.0720011922,-1.2119940734,2
229,-2.2237592437,-1.2464393311,-0.7625845206,2
230,-5.3246942974,-1.3161759050,-0.9037506582,1
231,-2.3301805651,-1.0561700788,-0.6869979649,2
232,-4.2805435917,-1.0959125226,-0.8871149452,1
233,-2.4875537153,-1.0917429373,-0.8928771078,2
234,-2.1421507721,-1.1485571060,-0.9858883733,2
235,-1.8960294971,-1.2861748395,-0.9134233154,2
236,-2.3279490001,-1.4326247006,-0.8479302722,2
237,-2.6244901037,-1.2143299077,-1.1266118812,2
238,-2.6368580367,-1.6421930071,-0.8225812064,2
239,-2.9443034419,-1.4493218371,-2.4114813949,2
240,-5.3966481213,-1.3811425264,-1.5423870076,1
241,-2.5619975545,-1.6239778716,-1.4489075388,2
242,-4.4787997090,-1.1227512373,-0.9108939594,1
243,-3.0015916536,-0.9515665045,-1.0664895424,2
244,-1.6158520667,-1.0438301306,-0.7029377363,2
245,-1.7450547955,-1.1488887691,-1.2553775765,2
246,-2.4306522771,-1.4401059692,-1.0998806452,2
247,-2.1673202777,-1.1486211948,-1.1699089325,2
248,-2.0505675312,-0.9636271636,-1.3146570828,2
249,-2.1108341236,-1.6974578490,-1.3943085576,2
250,-4.5564388356,-1.0567160659,-0.7506234342,1
251,-2.2191539904,-4.7529659255,-0.9764698295,2
252,-2.6546312192,-1.3801068023,-1.6864575558,2
253,-2.1917294553,-1.2146828446,-0.8932953837,2
254,-2.4779616497,-0.8408347105,-0.8610682990,2
255,-5.6379149559,-1.2460897950,-2.3061338159,1
256,-3.8307012859,-1.4330913645,-2.4678486966,1
257,-3.0202995213,-1.1400692975,-1.1316162901,2
258,-2.1796541764,-1.6154797604,-0.8878003980,2
259,-1.7820152145,-1.1155109751,-1.4415055834,2
260,-3.3719213025,-0.9267783307,-1.0061658803,1
261,-1.9959574583,-1.4098388665,-0.9771399134,2
262,-3.2863039244,-1.0625177909,-0.7220030269,2
263,-2.3807964628,-1.2983935874,-0.9522360260,2
264,-2.0274258250,-1.5257969967,-1.1360513623,2
265,-2.0109139703,-1.1356493443,-0.9743729936,2
266,-2.0653243675,-1.3807715026,-1.4016932302,2
267,-2.3406905216,-1.2507835789,-1.2568387200,2
268,-2.0977836785,-1.2357656362,-1.6463990618,2
269,-1.8485632924,-1.1715626789,-1.0535025668,2
270,-2.7629191673,-1.0889296905,-1.5467167574,2
271,-1.6877152221,-1.1349643118,-1.2023675939,2
272,-3.5872478270,-1.1020731885,-1.2496650548,1
273,-2.1269012507,-1.1038009929,-0.9709693367,2
274,-3.3741567213,-1.1763485902,-1.0003558243,1
275,-2.2565746440,-1.0467302900,-0.9908388387,2
276,-1.8650415843,-1.3037057445,-1.1320752280,2
277,-2.7876135547,-1.2183606494,-1.1503620047,2
278,-2.7570385459,-1.0217305339,-1.4053470166,2
279,-2.3121679496,-1.2648568038,-1.5191179099,2
280,-2.9534182428,-1.3934325422,-0.9850968323,2
281,-3.7480305527,-1.2562190443,-1.3983265490,1
282,-2.3834783432,-1.1437451598,-0.9997392843,2
283,-3.1811563744,-0.9149985859,-0.8375156737,2
284,-2.5358004140,-1.1548379057,-0.9500374218,2
285,-2.1319331905,-1.0655866369,-0.6929735431,2
286,-2.8681558977,-1.1510054310,-1.1016112519,2
287,-2.0797985191,-0.9121838412,-0.9203618118,2
288,-4.7856132953,-1.0172132854,-1.0916625267,1
289,-2.2484528764,-1.1861963298,-0.9198370914,2
290,-2.1494991346,-1.2747419485,-0.8784126147,2
291,-2.2145146672,-2.4778584103,-1.5650951040,2
292,-2.1858671506,-2.3864589645,-1.0075311342,2
293,-2.5990208137,-1.0515779166,-0.9767483310,2
294,-1.8789919969,-1.3422598953,-1.0281043888,2
295,-2.4216395071,-1.0990579707,-1.1265874987,2
296,-2.4953544728,-1.4155907220,-1.2177290766,2
297,-2.2258927751,-1.6136930018,-0.8663286872,2
298,-2.1131779277,-1.0342542428,-0.9443685560,2
299,-4.6819689608,-1.2759894602,-1.2091505196,1
300,-2.0457525044,-1.7760530958,-1.3478696370,2
301,-3.3902168149,-0.9223832959,-1.3936719638,1
302,-4.4357994909,-1.7968976462,-1.5331493718,1
303,-2.6511545196,-1.4822031560,-1.3273705846,2
304,-1.7111536422,-1.1665571717,-1.2578260276,2
305,-2.2439665667,-1.1289589347,-0.9974895250,2
306,-5.1256825651,-1.3187820682,-0.9315822968,1
307,-1.8944171116,-0.9851304413,-0.9358367568,2
308,-2.6993449554,-1.2533698879,-0.8064681473,2
309,-3.2675268636,-1.4786043899,-1.0918359485,2
310,-1.8279563920,-0.9359148467,-4.8439859334,3
311,-4.8020343234,-0.9304369259,-0.7692405885,1
312,-1.8478437059,-1.1024561704,-1.3034275788,2
313,-1.4570184253,-1.3738298823,-1.4832387181,2
314,-1.8894306279,-1.3897249201,-1.0464703885,2
315,-1.8270011230,-1.3122475256,-1.1362733784,2
316,-2.8162243786,-1.8840138499,-0.9317334808,2
317,-2.5002847153,-1.2641939996,-0.9169753574,2
318,-1.7935036483,-1.0667501459,-0.8498773501,2
319,-2.2063355224,-1.5047423678,-5.0772621335,3
320,-2.4160753757,-1.3421870805,-1.0789858765,2
321,-1.9210830761,-1.3001800958,-1.5693002234,2
322,-2.0308327257,-1.5413824278,-0.9980365216,2
323,-4.8903372431,-1.2162328562,-2.2470967996,1
324,-2.1990486247,-0.9251980596,-0.7330639795,2
325,-4.8411899939,-0.7980146408,-1.1158630197,1
326,-1.7299754355,-1.3632295112,-1.2971222022,2
327,-2.3806470443,-1.6601660058,-1.3839221933,2
328,-2.0343535707,-1.3372571159,-0.8406912229,2
329,-2.8003193704,-1.2551881674,-1.5759523999,2
330,-1.7302122661,-1.3762999729,-1.5107061970,2
331,-4.4806787990,-1.0344616544,-0.9297778016,1
332,-2.1359666247,-0.8051569436,-0.8396846995,2
333,-3.9648562771,-1.3694930508,-1.0800582279,1
334,-3.0658142556,-1.3190050488,-1.3200502665,2
335,-2.0934796634,-0.7590576073,-0.5729058231,2
336,-2.4665609383,-1.3282014742,-0.6978937876,2
337,-3.2225949933,-1.1925843886,-1.0694563882,2
338,-1.7943502252,-1.1860435430,-1.2979655892,2
339,-2.1992850937,-1.2685567732,-0.9903713499,2
340,-2.5326395746,-1.5002432779,-1.8992501863,2
341,-3.1456966315,-1.1794252653,-0.8436119336,2
342,-2.5282504388,-1.0479636223,-0.9740684446,2
343,-1.9868418455,-0.9159932988,-0.9580375617,2
344,-5.1121496366,-1.0414045722,-1.3171653415,1
345,-1.5865517006,-1.1404389063,-0.9963967189,2
346,-2.1530264930,-1.1098427841,-1.4440840731,2
347,-2.8320742283,-1.2312797022,-0.8108528182,2
348,-1.8455769130,-1.6523035233,-0.8498089184,2
349,-2.9610428215,-1.9084408058,-0.9185198377,2
350,-2.1076356673,-1.3261663182,-0.9891464687,2
351,-2.1280723750,-1.7414470133,-1.6157481459,2
352,-2.2572658940,-1.9803305108,-4.9117912821,3
353,-2.8664868683,-1.0368000497,-1.0454200807,2
354,-2.2185056411,-0.5988112832,-0.8420995663,2
355,-3.1678402340,-1.6076366573,-1.3124870821,2
356,-2.6754786357,-1.5216117852,-1.1327173416,2
357,-2.0592263865,-1.2027120865,-0.9940062598,2
358,-2.4053911698,-1.1345381551,-1.0547959887,2
359,-2.0449421345,-0.8144467566,-0.6508053797,2
360,-2.2913296122,-1.2240044660,-1.3286020784,2
361,-2.0074139711,-1.4510809657,-1.5633818745,2
362,-2.9331456722,-1.6107644814,-1.1284920479,2
363,-2.3685891064,-1.1742810228,-0.8747919775,2
364,-1.7607154064,-1.3312426247,-1.5127071905,2
365,-1.7629615617,-1.1708236036,-1.9277540877,2
366,-1.9988625386,-1.1629890664,-1.2668475167,2
367,-5.3408693642,-0.9071154366,-1.9223908175,1
368,-1.9793879492,-1.0636245573,-1.0021903961,2
369,-2.5253918889,-1.3746061576,-0.9680401422,2
370,-3.8756783496,-0.9871549315,-0.6984674310,1
371,-2.8750447977,-1.0608363158,-1.1675909669,2
372,-1.9781020339,-1.2840543190,-1.2030223748,2
373,-1.6509481082,-1.4419380455,-0.7894281193,2
374,-2.5424729580,-1.1078004989,-1.2871747917,2
375,-2.3202769720,-1.0129112605,-0.9906696243,2
376,-3.0994055364,-1.0133697335,-1.0866560217,2
