Window,Nsim,Component,MAE,Hellinger,TotalVariation,Wasserstein
famp3,1000,kxx,0.00206666666666667,0.0359788210933454,0.0248,0.0189173945500911
famp3,1000,kyy,0.00244166666666667,0.037091517425582,0.0293,0.0325669102454608
famp3,1000,kzz,0.000958333333333332,0.0335988069092082,0.0115,0.0333245131811021
famp4,10,kxx,0.0545333333333333,0.653795308959828,0.6544,0.308449114307785
famp4,10,kyy,0.0297083333333333,0.43701570332326,0.3565,0.3958987303037
famp4,10,kzz,0.0159416666666667,0.268974516211073,0.1913,0.313407002960413
famp4,20,kxx,0.0277416666666667,0.34181223298554,0.3329,0.128467074971649
famp4,20,kyy,0.033325,0.383623908124438,0.3999,0.778641819585389
famp4,20,kzz,0.0101916666666667,0.238257467439237,0.1223,0.129148878905373
famp4,30,kxx,0.0127972222222222,0.200874048833497,0.153566666666667,0.0903523022495217
famp4,30,kyy,0.013975,0.236528159339698,0.1677,0.154521629617926
famp4,30,kzz,0.00881388888888889,0.200885843576802,0.105766666666667,0.102339583719277
famp4,40,kxx,0.01805,0.215548883951616,0.2166,0.171367775590253
famp4,40,kyy,0.0192333333333333,0.213278371252481,0.2308,0.133316775445569
famp4,40,kzz,0.0100583333333333,0.232772072500573,0.1207,0.236847395347571
famp4,50,kxx,0.010325,0.17439674017763,0.1239,0.0835326323538143
famp4,50,kyy,0.013475,0.177134003926181,0.1617,0.354994520781126
famp4,50,kzz,0.00898333333333333,0.161573636711606,0.1078,0.184596238845635
famp4,100,kxx,0.006775,0.0949888309612477,0.0813,0.085679714235843
famp4,100,kyy,0.00909166666666667,0.124906912290142,0.1091,0.10596976961608
famp4,100,kzz,0.013775,0.172981791869851,0.1653,0.113921477238712
famp4,200,kxx,0.00745,0.0938962074998752,0.0894,0.049175920556746
famp4,200,kyy,0.00681666666666667,0.108529629948413,0.0818,0.0468971959819144
famp4,200,kzz,0.00485833333333334,0.0622820601003952,0.0583,0.0320791406108327
famp4,300,kxx,0.00358611111111111,0.0352785731564395,0.0430333333333333,0.0328615337407385
famp4,300,kyy,0.00680833333333333,0.0696414421944856,0.0817,0.0984344722570694
famp4,300,kzz,0.00489722222222222,0.0884023739068993,0.0587666666666667,0.123258702359829
famp4,400,kxx,0.00308333333333333,0.0779869298003091,0.037,0.0500672815579833
famp4,400,kyy,0.007825,0.118068927164066,0.0939,0.148036905631383
famp4,400,kzz,0.00298333333333333,0.0843647798856654,0.0358,0.0552952489824664
