Window,Metric,Component,ReferencePair,Distance,FloorMedian,FloorMin,FloorMax
famp2,Wasserstein,kzz,R2_R3,0.012321947124637,0.012321947124637,0.0113459434008368,0.0229465399310474
famp3,MAE,kxx,R1_R2,0.00139166666666667,0.00139166666666667,0.000983333333333333,0.00145416666666667
famp3,MAE,kyy,R1_R2,0.000645833333333333,0.00114583333333333,0.000645833333333333,0.00122916666666667
famp3,MAE,kzz,R1_R2,0.00113333333333333,0.00113333333333333,0.000979166666666667,0.00140416666666666
famp3,Hellinger,kxx,R1_R2,0.0169451693610754,0.0169451693610754,0.014669696211995,0.0188431671409542
famp3,Hellinger,kyy,R1_R2,0.00828016032333249,0.0132128063315879,0.00828016032333249,0.0139362954049294
famp3,Hellinger,kzz,R1_R2,0.0163504870669094,0.0163423390760601,0.0139026145344971,0.0163504870669094
famp3,Wasserstein,kxx,R1_R2,0.0108938315825049,0.0113653475773725,0.0108938315825049,0.0199056819501807
famp3,Wasserstein,kyy,R1_R2,0.0169895492938861,0.0155091125430321,0.0100452423249722,0.0169895492938861
famp3,Wasserstein,kzz,R1_R2,0.0163612390825069,0.0157270403376546,0.010140357643638,0.0163612390825069
famp3,MAE,kxx,R1_R3,0.00145416666666667,0.00139166666666667,0.000983333333333333,0.00145416666666667
famp3,MAE,kyy,R1_R3,0.00114583333333333,0.00114583333333333,0.000645833333333333,0.00122916666666667
famp3,MAE,kzz,R1_R3,0.000979166666666667,0.00113333333333333,0.000979166666666667,0.00140416666666666
famp3,Hellinger,kxx,R1_R3,0.0188431671409542,0.0169451693610754,0.014669696211995,0.0188431671409542
famp3,Hellinger,kyy,R1_R3,0.0132128063315879,0.0132128063315879,0.00828016032333249,0.0139362954049294
famp3,Hellinger,kzz,R1_R3,0.0139026145344971,0.0163423390760601,0.0139026145344971,0.0163504870669094
famp3,Wasserstein,kxx,R1_R3,0.0199056819501807,0.0113653475773725,0.0108938315825049,0.0199056819501807
famp3,Wasserstein,kyy,R1_R3,0.0100452423249722,0.0155091125430321,0.0100452423249722,0.0169895492938861
famp3,Wasserstein,kzz,R1_R3,0.010140357643638,0.0157270403376546,0.010140357643638,0.0163612390825069
famp3,MAE,kxx,R2_R3,0.000983333333333333,0.00139166666666667,0.000983333333333333,0.00145416666666667
famp3,MAE,kyy,R2_R3,0.00122916666666667,0.00114583333333333,0.000645833333333333,0.00122916666666667
famp3,MAE,kzz,R2_R3,0.00140416666666666,0.00113333333333333,0.000979166666666667,0.00140416666666666
famp3,Hellinger,kxx,R2_R3,0.014669696211995,0.0169451693610754,0.014669696211995,0.0188431671409542
famp3,Hellinger,kyy,R2_R3,0.0139362954049294,0.0132128063315879,0.00828016032333249,0.0139362954049294
famp3,Hellinger,kzz,R2_R3,0.0163423390760601,0.0163423390760601,0.0139026145344971,0.0163504870669094
famp3,Wasserstein,kxx,R2_R3,0.0113653475773725,0.0113653475773725,0.0108938315825049,0.0199056819501807
famp3,Wasserstein,kyy,R2_R3,0.0155091125430321,0.0155091125430321,0.0100452423249722,0.0169895492938861
famp3,Wasserstein,kzz,R2_R3,0.0157270403376546,0.0157270403376546,0.010140357643638,0.0163612390825069
famp4,MAE,kxx,R1_R2,0.000745833333333334,0.00117916666666667,0.000745833333333334,0.00125833333333333
famp4,MAE,kyy,R1_R2,0.000841666666666666,0.000841666666666666,0.000837500000000001,0.00105
famp4,MAE,kzz,R1_R2,0.000629166666666666,0.000983333333333331,0.000629166666666666,0.00105833333333333
famp4,Hellinger,kxx,R1_R2,0.0109669385375734,0.0141594883670067,0.0109669385375734,0.0149189331820998
famp4,Hellinger,kyy,R1_R2,0.0135814265326455,0.013488701419251,0.0132858221337379,0.0135814265326455
famp4,Hellinger,kzz,R1_R2,0.018543685984192,0.0176256990473387,0.0172688862348541,0.018543685984192
