Window,Nsim,Repeat,Metric,Component,Score
famp1,50,10,Hellinger,kzz,0.101278227810498
famp1,50,10,Wasserstein,kxx,0.1132349227734
famp1,50,10,Wasserstein,kyy,0.103781242193024
famp1,50,10,Wasserstein,kzz,0.156150826109421
famp1,50,11,MAE,kxx,0.0130458333333333
famp1,50,11,MAE,kyy,0.00905416666666667
famp1,50,11,MAE,kzz,0.00595
famp1,50,11,Hellinger,kxx,0.189084696694252
famp1,50,11,Hellinger,kyy,0.149399882491319
famp1,50,11,Hellinger,kzz,0.150590328186573
famp1,50,11,Wasserstein,kxx,0.105054320117512
famp1,50,11,Wasserstein,kyy,0.0831914749378481
famp1,50,11,Wasserstein,kzz,0.0687223672905548
famp1,50,12,MAE,kxx,0.01165
famp1,50,12,MAE,kyy,0.0147708333333333
famp1,50,12,MAE,kzz,0.00415833333333333
famp1,50,12,Hellinger,kxx,0.251289785819882
famp1,50,12,Hellinger,kyy,0.230694381269372
famp1,50,12,Hellinger,kzz,0.093600091451166
famp1,50,12,Wasserstein,kxx,0.207295930338957
famp1,50,12,Wasserstein,kyy,0.112162684884358
famp1,50,12,Wasserstein,kzz,0.0925766502288689
famp1,50,13,MAE,kxx,0.015875
famp1,50,13,MAE,kyy,0.00745416666666667
famp1,50,13,MAE,kzz,0.0106541666666667
famp1,50,13,Hellinger,kxx,0.269879616231422
famp1,50,13,Hellinger,kyy,0.144084229124473
famp1,50,13,Hellinger,kzz,0.251562359431296
famp1,50,13,Wasserstein,kxx,0.221699545689144
famp1,50,13,Wasserstein,kyy,0.103643037814698
famp1,50,13,Wasserstein,kzz,0.0902422315704101
famp1,50,14,MAE,kxx,0.0107458333333333
famp1,50,14,MAE,kyy,0.00732083333333334
famp1,50,14,MAE,kzz,0.00782083333333333
famp1,50,14,Hellinger,kxx,0.180723426696415
famp1,50,14,Hellinger,kyy,0.187068893214921
famp1,50,14,Hellinger,kzz,0.145868285290826
famp1,50,14,Wasserstein,kxx,0.115398042781198
famp1,50,14,Wasserstein,kyy,0.0807141834632135
famp1,50,14,Wasserstein,kzz,0.0746623477388258
famp1,50,15,MAE,kxx,0.0122041666666667
famp1,50,15,MAE,kyy,0.006875
famp1,50,15,MAE,kzz,0.0143125
famp1,50,15,Hellinger,kxx,0.159818264144713
famp1,50,15,Hellinger,kyy,0.138450132235435
famp1,50,15,Hellinger,kzz,0.205736639441676
famp1,50,15,Wasserstein,kxx,0.0946267731970193
famp1,50,15,Wasserstein,kyy,0.0676509895901791
famp1,50,15,Wasserstein,kzz,0.150416773044234
famp1,50,16,MAE,kxx,0.0095125
famp1,50,16,MAE,kyy,0.0129125
famp1,50,16,MAE,kzz,0.00891666666666667
famp1,50,16,Hellinger,kxx,0.245347848691816
famp1,50,16,Hellinger,kyy,0.246762940598614
famp1,50,16,Hellinger,kzz,0.167267660933989
famp1,50,16,Wasserstein,kxx,0.165988196162785
famp1,50,16,Wasserstein,kyy,0.103668788327277
famp1,50,16,Wasserstein,kzz,0.142865748032821
famp1,50,17,MAE,kxx,0.0241583333333333
famp1,50,17,MAE,kyy,0.00928333333333334
famp1,50,17,MAE,kzz,0.00896666666666667
