Window,Nsim,Metric,Component,MedianScore,P10Score,P90Score,FloorMedian,FloorMin,FloorMax
famp4,1000,Wasserstein,kxx,0.0345425064501173,0.0248081793785153,0.0486295033373099,0.0129207619585896,0.00686337059683023,0.015901771125119
famp4,1000,Wasserstein,kyy,0.0414896266556076,0.0249153323176109,0.0848162296243572,0.00792099338088277,0.00624980955772391,0.00978591480215477
famp4,1000,Wasserstein,kzz,0.0355518496359125,0.0251171431261156,0.0809837640012432,0.0276380964062994,0.011435921434879,0.0387240267278587
famp4,1500,MAE,kxx,0.00228958333333333,0.00183888888888889,0.00311180555555556,0.00117916666666667,0.000745833333333334,0.00125833333333333
famp4,1500,MAE,kyy,0.0027375,0.00217569444444444,0.00382708333333333,0.000841666666666666,0.000837500000000001,0.00105
famp4,1500,MAE,kzz,0.00244861111111111,0.00148541666666667,0.00321875,0.000983333333333331,0.000629166666666666,0.00105833333333333
famp4,1500,Hellinger,kxx,0.0335362675006831,0.0265007246869413,0.0442150238902733,0.0141594883670067,0.0109669385375734,0.0149189331820998
famp4,1500,Hellinger,kyy,0.0413421241638906,0.0301529994529184,0.0515004818150067,0.013488701419251,0.0132858221337379,0.0135814265326455
famp4,1500,Hellinger,kzz,0.0386760130737743,0.0286157809761898,0.0484768838588081,0.0176256990473387,0.0172688862348541,0.018543685984192
famp4,1500,Wasserstein,kxx,0.0271751025666854,0.016161590019976,0.0478663074140678,0.0129207619585896,0.00686337059683023,0.015901771125119
famp4,1500,Wasserstein,kyy,0.0401558932704285,0.0227770034563528,0.0765189214399376,0.00792099338088277,0.00624980955772391,0.00978591480215477
famp4,1500,Wasserstein,kzz,0.0289100752089845,0.0195307768571294,0.0607953544300818,0.0276380964062994,0.011435921434879,0.0387240267278587
famp4,2000,MAE,kxx,0.00205625,0.0014125,0.00300833333333333,0.00117916666666667,0.000745833333333334,0.00125833333333333
famp4,2000,MAE,kyy,0.00239583333333333,0.001775,0.00302083333333333,0.000841666666666666,0.000837500000000001,0.00105
famp4,2000,MAE,kzz,0.00206666666666667,0.0013125,0.00286041666666667,0.000983333333333331,0.000629166666666666,0.00105833333333333
famp4,2000,Hellinger,kxx,0.0289454729392788,0.0218971438244627,0.0378116544642095,0.0141594883670067,0.0109669385375734,0.0149189331820998
famp4,2000,Hellinger,kyy,0.0316515978658053,0.0276039386931923,0.0442890086849423,0.013488701419251,0.0132858221337379,0.0135814265326455
famp4,2000,Hellinger,kzz,0.0332539161710198,0.0254848777092049,0.0425518335551482,0.0176256990473387,0.0172688862348541,0.018543685984192
famp4,2000,Wasserstein,kxx,0.0244990081234499,0.0148339407788121,0.0388529116394476,0.0129207619585896,0.00686337059683023,0.015901771125119
famp4,2000,Wasserstein,kyy,0.0342978229657506,0.0195196966484564,0.066488302956785,0.00792099338088277,0.00624980955772391,0.00978591480215477
famp4,2000,Wasserstein,kzz,0.0262941869185394,0.0162116208099843,0.0407079735481472,0.0276380964062994,0.011435921434879,0.0387240267278587
famp5,20,MAE,kxx,0.0216104166666667,0.0151895833333333,0.028925,0.000820833333333334,0.000666666666666666,0.000933333333333335
famp5,20,MAE,kyy,0.0217645833333333,0.0148958333333333,0.0304291666666667,0.000891666666666668,0.0004375,0.000941666666666667
famp5,20,MAE,kzz,0.0183125,0.01366875,0.025925,0.000687500000000001,0.000599999999999999,0.000883333333333332
famp5,20,Hellinger,kxx,0.290941269708382,0.232937845105566,0.392624016873561,0.00948897446287664,0.00887472341505985,0.00993784270818745
famp5,20,Hellinger,kyy,0.327579774592031,0.266620931314992,0.392439249194468,0.0100528302630276,0.00809925710492207,0.0113566313534739
famp5,20,Hellinger,kzz,0.294176503974627,0.236733011952114,0.375338285674818,0.0123912176603858,0.0109136617450829,0.0124012605027441
famp5,20,Wasserstein,kxx,0.282365936260396,0.182779600073148,0.519537613769063,0.00921800494848425,0.00796551502974451,0.00927729568518265
famp5,20,Wasserstein,kyy,0.241976937656187,0.151867337648975,0.713059025136639,0.0163907905561586,0.00596177952102211,0.0165706718609889
famp5,20,Wasserstein,kzz,0.266005552436029,0.170783026784064,0.461984314596597,0.00936264237104143,0.00640365278566259,0.0110653880414705
famp5,50,MAE,kxx,0.012325,0.00909375,0.0168104166666667,0.000820833333333334,0.000666666666666666,0.000933333333333335
famp5,50,MAE,kyy,0.0119458333333333,0.00975625,0.0171458333333333,0.000891666666666668,0.0004375,0.000941666666666667
